meliksh                                 ,{oguzbilgener},{oguzbilgener},,
ozgur00                                 ,"{oguzbilgener,MichalPaszkiewicz}","{bdd,robrix,robb,oguzbilgener,smileyborg,MichalPaszkiewicz}",{None},
kublaios                                ,"{fzzio,amourreux,oguzbilgener,juliozuppa,raelinamarie,Cutta,pranavlathigara}","{hollance,simonbs,oguzbilgener,amourreux,raelinamarie}","{JavaScript,PHP,ASP,Swift,Python,None,Objective-C,Java}",
nuptboyzhb                              ,"{hehead,xiujunma,gongstaven,bobdeng,z626900645,oguzbilgener,wudayu,sunboyu,yulanfeiyang,leelei,jonesgithub,xmpy,yxdong,bingdon,ignasi,chentao0707,r17171709,JamalyYao,Ranch2014,kevinluo,wrjqss,Idumuzhou,dwdcth,ansonlian,rickyqiu,conorbla,dlsyj,zangaodezishu,langelee,pranavlathigara,ewrfedf,longluo,huyansheng3,laisse,Freedom000,iMiracle,Pamgo,andyqin1989,qingfengmy,hnrainll,DevenLu,hehesyw,archieyang,adelnizamutdinov,tugrulaltun,zourb,morristech,csh159,vbauer,EvilerIT,horaciojcfilho,ayyb1988,edwdchen,leodsgn,dkzwm,jackuhan,suyogitsdone,kyze8439690,guangying945,NapleC,shadow-yan,txfyteen,zhufuing,huchun,xingxingcs,QichaoChen,inferjay,nikeshmhr,splank,huluwa,worldandhome,976014121,120660021,tsdl2013,vistier,tedzyc,Wmmeng,seraphcxl,msdgwzhy6,wst1620125,kyleduo,devilthrone,erosiners,JemmaIT,brunocasanova,hczcgq,fw1088,ixzus,liuchuangjin,angusshire,wtjandjay,d87335903,ashqal,nobcdz,xuxiandi,Godchin1990,cayden,windgithub,snowdream,zengying,playbbbb}","{kangax,jeresig,Jearil,nzakas,shawphy,arpit,JakeWharton,fitzgen,cyrilmottier,lifesinger,sofish,ellisonleao,jayli,csnover,BYVoid,douglascrockford,nicolasgramlich,iPaulPro,chiuki,foxykeep,Jogan,vinc3m1,kevinho,vbauer,ignasi,watabou,JoseAlcerreca,mgalushka,evant,wintercn,cloudwu,mmin18,ksoichiro,srowen,kikoso,cymcsg,denley,torvalds,pavlospt,makovkastar,TangKe,Glowin,Trinea,mrnugget,bunnyblue,nostra13,amenon,oguzbilgener,android10,kesenhoo,mikepenz,kalasoo,rovo89,gongstaven,j256,huxiaoqi567,leepood,TediWang,MasayukiSuda,wudayu,daimajia,Aexyn,gabrielemariotti,FilipPudak,wyouflf,traex,yangliuy,singwhatiwanna,jiang111,yulu,GavinCT,freewheelnat,liaohuqiu,christophesmet,Charles0429,chaojimiaomiao,ashqal,gotokatsuya,zzz40500,KittenYang,callmewhy,PhilJay,LyndonChin,ph1lb4,misakuo,bobdeng,rickyqiu,qyxxjd,nomisRev,yixiangboy,slinzner}","{JavaScript,Processing,Groovy,Python,Shell,None,Objective-C,C++,Java}",
ankitthakkarsa                          ,{jrajamca14},"{oguzbilgener,tomasienrbc}",{Java},
smonalisa2011                           ,{kushal25},"{oguzbilgener,mikepenz,kushal25,JorgeCastilloPrz}",,
gasbakid                                ,"{v0lkan,JSansalone,vikalppatelce,katepesic,csjaba,devcarlos,steveschmidt58,Appacts,fntlnz,janajutawansiber,Azharil,sarahjacob,pjbr,cupatil,sompongkhamain,ypersyntelykos,vinod1988,javiereguiluz,gabrielpconceicao,silentcrescendo,cusspvz,SuriyaaKudoIsc,angusshire,glen1uk,VagrantStory,njs94,ternsip,woxly,SnehaRane}","{defunkt,wycats,bmizerany,ry,ryanbriones,sco,bernd,progrium,matschaffer,mde,alex,sintaxi,quirkey,mitchellh,jezdez,scrooloose,orderedlist,bronson,krobertson,jnwhiteh,JeremyGrosser,mmcgrana,toastdriven,bradfitz,matthiask,dhh,mperham,ddollar,madrobby,mnutt,aphyr,codebutler,tswicegood,pauldix,jashkenas,weppos,tedkulp,huacnlee,slact,dynamix,bitprophet,botanicus,krschultz,avsej,mitsuhiko,mattt,fdb,samuel,hank,lmacken,jaredhanson,igrigorik,rcrowley,markmarkoh,janl,ubernostrum,nirvdrum,substack,astro,zenazn,azer,ged,stefanfoulis,benoitc,hollow,yatsu,Ramblurr,gregkh,othree,mpdehaan,benadida,harperreed,erikh,matthewbauer,pledbrook,flosch,smly,schwa,ltratt,maran,alexmchale,seanh,dokterbob,evolvedlight,richardkeen,dcramer,danfairs,chrisglass,af,mourner,x1ddos,coderholic,mick,beberlei,kyledrake,chartjes,mackuba,brutasse,jorilallo,hakanensari,jpzk}","{None,JavaScript}",
enessvk                                 ,"{jokoje,mhmt35,eneskemalergin,ISBarreto,lilianerue,AliCanAydogdu,AhmetHamzaEmra}","{sattvik,esayli,aikerim,profkemalaydin,jokoje,mhmt35,ISBarreto}","{None,Java,HTML}",
leandroboni                             ,"{AndbrainTeam,sandeeplondhe,vinod1988,Anil89,ternsip,woxly}","{mcharmas,JakeWharton,jamesgpearce,donnfelker,cyrilmottier,romannurik,commonsguy,twaddington,johncarl81,jgilfelt,spacecowboy,chrisbanes,jdamcd,TonicArtos,hoang8f,iPaulPro,PomepuyN,foxykeep,SimonVT,zasadnyy,kevinsawicki,leocadiotine,sephiroth74,romainguy,UweTrottmann,kikoso,JimiSmith,johnkil,StylingAndroid,jurenovic,torvalds,IanGClifton,chrisjenx,rampo,premnirmal,oguzbilgener,castorflex,daimajia,ManuelPeinado,dmytrodanylyk,dmitry-zaitsev,kmshack,adnan-SM,ducrohet,estiens,AndroidAlliance,fedestyla}",,
Kevincc                                 ,"{sylviapric,vlordier,cusspvz,angusshire,riyasmohamedmr}","{nwind,JakeWharton,koush,commonsguy,addyosmani,jgilfelt,chrisbanes,evelyne24,greenrobot,PaulRashidi,qiao,SimonVT,tangqiaoboy,mmin18,sephiroth74,romainguy,ruanyf,StylingAndroid,Trinea,oguzbilgener,emilsjolander,Noisyfox,rovo89,daimajia,ManuelPeinado,pedrovgs,liaohuqiu,samtstern}","{Java,CSS}",
